Game	Name	Level	Skin	Concepts	Instructions	Url
Video	Intro	1				http://www.youtube.com/embed/hSh5YerqFTA?modestbranding=1&rel=0
Maze	Level1	2_1	mouse	sequence 1	A program is a sequence of statements. Stack a couple of 'move forward' blocks together to help me reach the goal.	
Maze	Level2	2_2	mouse	sequence 1	A program is a sequence of statements. Stack a couple of 'move forward' blocks together to help me reach the goal.	
Maze	Level3	2_3	mouse	loop 1	What should I do to follow the path?	
Maze	Level4	2_4	mouse	loop 1	What should I do to follow the path?	
Video	Loops	2		loop 1		http://www.youtube.com/embed/oPFcYvEvhLY?modestbranding=1&rel=0
Maze	Level5	2_5	mouse	conditional 1, loop 1	Try to reach the end of this path using only two blocks.	
Maze	Level6	2_6	mouse	conditional 1, loop 1	Try to reach the end of this path using only three blocks.	
Maze	Level7	2_7	mouse	conditional 1, loop 1	Try to reach the end of this path using only two repeat blocks.	
Maze	Level8	2_8	mouse	conditional 2, loop 1	Try to reach the end of this path using only two repeat blocks.	
Video	Loops	3		loop 1		http://www.youtube.com/embed/kp41877wkwM?modestbranding=1&rel=0
Maze	Level9	2_9	mouse	conditional 2, loop 1	Try to reach the end of this path using the new repeat block.	
Maze	Level10	2_10	mouse	conditional 2, loop 2	Try to reach the end of this path using only three blocks.	
Maze	Level11	2_11	mouse	sequence 1	Reach the goal using only five blocks.	
Maze	Leve12	2_12	mouse	sequence 1	Reach the goal using only five blocks.	
Video	Conditionals	4		conditional 1		http://www.youtube.com/embed/eFEyrCE0o5k?modestbranding=1&rel=0
Maze	Level13	2_13	mouse	loop 1	I will have to turn left when I cannot go straight. Use an 'if' block to see if their is a path in another direction.	
Maze	Level14	2_14	mouse	loop 1	I will have to turn right when I cannot go straight. Use an 'if' block to see if their is a path in another direction.	
Maze	Level15	2_15	mouse	conditional 1, loop 1	An 'if' condition will do something only if the condition is true.  Try turning right if there is a path to the right.	
Maze	Level16	2_16	mouse	conditional 1, loop 1	An 'if' condition will do something only if the condition is true.  Try turning right if there is a path to the right.	
Video	Conditionals	5		conditional 2		http://www.youtube.com/embed/5mo2msToyqA?modestbranding=1&rel=0
Maze	Level17	2_17	mouse	conditional 1, loop 1	If-else blocks will do one thing or the other.	
Maze	Level18	2_18	mouse	conditional 2, loop 1	Use the 'if-else' block to help me get out of the maze!	
Video	Other	6				http://www.youtube.com/embed/Pk-UuG8A494?modestbranding=1&rel=0
