Key	Name	Concepts	YoutubeCode	Download
maze_intro	Maze Intro		bQilo5ecSX4	https://s3.amazonaws.com/cdo-videos/new/2a-HoC-intro.mp4
artist_intro	Artist Intro		ws8rmHcqXeM	https://s3.amazonaws.com/cdo-videos/new/5-artist-intro.mp4
farmer_intro	Farmer Intro		G6N67RXQ9fk	https://s3.amazonaws.com/cdo-videos/new/9-farmer-intro.mp4
loop_times	Repeat times block	loop_times	mgooqyWMTxk	https://s3.amazonaws.com/cdo-videos/new/2b-HoC-zuck-repeat-loop.mp4
loop_until	Repeat until block	loop_until	G2hdlhDYICw	https://s3.amazonaws.com/cdo-videos/new/2c-HoC-Bosh-Repeat-Until.mp4
if	If block	if	m2Ux2PnJe6E	https://s3.amazonaws.com/cdo-videos/new/2d-HoC-Bill+Gates-IF-STATEMENTS.mp4
if_else	If/else block	if_else	JtL7w6ja5iI	https://s3.amazonaws.com/cdo-videos/new/2e-HoC-saloni-ifelse.mp4
function	Functions	function	Esp1kkKFpg0	https://s3.amazonaws.com/cdo-videos/new/8-functions-activity.mp4
loop_while	While block	loop_while	F8H-41bpJ6E	https://s3.amazonaws.com/cdo-videos/new/13_farmer2-while-block.mp4
loop_for	Counter block	loop_for	gxc9RCMvky0	https://s3.amazonaws.com/cdo-videos/new/11-artist3-counter-loops.mp4
parameters	Functions with parameters	parameters	w6T7nynqRpw	https://s3.amazonaws.com/cdo-videos/new/15-artist4-function-w-parameters.mp4
hoc_wrapup	HoC wrapup		98Wft30gUQE	https://s3.amazonaws.com/cdo-videos/new/2f-HoC-wrap-up-final.mp4
